class id,course prefix,course number,section,term,call number,class title,class subtitle,status,instructors,schedule,enrollment,max enroll,core area,sess,ues,ues+,ues%,col,dept,act,sess,insts,asst count,textbooks,syllabus
acct3332.501.17s,acct,3332 ,501 ,17s,24638 ,Intermediate Financial Accounting II ,,Open,Tiffany Bortz,Wed : 7:00pm-9:45pm : SOM_1.212,56,43, ,1,do_eval,,,mgt,mgmt,lec,1,tabortz,1,"9781119231561,9781119309260,9781119170808 ",syl
acct3332.ppa.17s,acct,3332 ,ppa ,17s,24639 ,Intermediate Financial Accounting II ,,Open,Tiffany Bortz,Tues & Thurs : 2:30pm-3:45pm : SOM_2.115,70,30, ,1,do_eval,,,mgt,mgmt,lec,1,tabortz,1,"9781119231561,9781119309260,9781119170808 ",syl
acct3341.501.17s,acct,3341 ,501 ,17s,24465 ,Cost Management Systems ,,Open,Ying Quan,Mon & Wed : 5:30pm-6:45pm : SOM_12.202,58,2, ,1,do_eval,,,mgt,mgmt,lec,1,yaq100020,1,"9780133781106,9781323332252,9780133803815 ",syl
acct3341.001.17s,acct,3341 ,001 ,17s,24338 ,Cost Management Systems ,,Closed,Ying Quan,Tues & Thurs : 8:30am-9:45am : SOM_12.202,60,0, ,1,do_eval,,,mgt,mgmt,lec,1,yaq100020,1,"9780133781106,9781323332252,9780133803815 ",syl
acct3341.002.17s,acct,3341 ,002 ,17s,24339 ,Cost Management Systems ,,Closed,Ying Quan,Tues & Thurs : 10:00am-11:15am : SOM_12.206,60,0, ,1,do_eval,,,mgt,mgmt,lec,1,yaq100020,1,"9780133781106,9781323332252,9780133803815 ",syl
acct3350.002.17s,acct,3350 ,002 ,17s,24914 ,Fundamentals of Taxation ,,Open,John Gamino,Mon & Wed : 2:30pm-3:45pm : SOM_2.717,53,22, ,1,do_eval,,,mgt,mgmt,lec,1,jpg140630,1,9781337365758 ,syl
acct3350.001.17s,acct,3350 ,001 ,17s,24640 ,Fundamentals of Taxation ,,Closed,Steven Solcher,Tues & Thurs : 10:00am-11:15am : SOM_1.102,75,0, ,1,do_eval,,,mgt,mgmt,lec,1,sjs107020,2,9781337365758 ,syl
acct3350.501.17s,acct,3350 ,501 ,17s,24654 ,Fundamentals of Taxation ,,Open,Steven Solcher,Tues : 7:00pm-9:45pm : SOM_2.115,39,36, ,1,do_eval,,,mgt,mgmt,lec,1,sjs107020,2,9781337365758 ,syl
acct4301.001.17s,acct,4301 ,001 ,17s,25247 ,Database Systems ,,Open,Ravishankar Narayan,Mon : 4:00pm-6:45pm : SOM_12.222,22,38, ,1,do_eval,,,mgt,mgmt,lec,1,rln130030,1, ,syl
acct4334.002.17s,acct,4334 ,002 ,17s,24943 ,Auditing ,,Open,Chris Linsteadt,Mon & Wed : 1:00pm-2:15pm : SOM_2.802,34,14, ,1,do_eval,,,mgt,mgmt,lec,1,ccl019000,0,"9780077862343,9780077632281 ",syl
acct4334.001.17s,acct,4334 ,001 ,17s,24340 ,Auditing ,,Open,Chris Linsteadt,Mon & Wed : 8:30am-9:45am : SOM_2.802,27,21, ,1,do_eval,,,mgt,mgmt,lec,1,ccl019000,0,"9780077862343,9780077632281 ",syl
acct4334.501.17s,acct,4334 ,501 ,17s,24341 ,Auditing ,,Open,Chris Linsteadt,Wed : 7:00pm-9:45pm : SOM_2.803,22,26, ,1,do_eval,,,mgt,mgmt,lec,1,ccl019000,0,"9780077862343,9780077632281 ",syl
acct4336.001.17s,acct,4336 ,001 ,17s,24342 ,Financial Statement Analysis ,,Open,Bin Li,Mon & Wed : 1:00pm-2:15pm : SOM_12.210,47,13, ,1,do_eval,,,mgt,mgmt,lec,1,bxl124230,1,9781618531049 ,syl
acct4337.001.17s,acct,4337 ,001 ,17s,25225 ,Business Valuation ,,Open,Joseph Nketia,Tues & Thurs : 4:00pm-5:15pm : SOM_2.804,14,31, ,1,do_eval,,,mgt,mgmt,lec,1,jan170230,0,"9780133506990,9780133479522 ",syl
acct4337.002.17s,acct,4337 ,002 ,17s,25227 ,Business Valuation ,,Open,James Richards,Fri : 10:00am-12:45pm : SOM_2.901,26,18, ,1,do_eval,,,mgt,mgmt,lec,1,jrr013500,0,"9780133506990,9780133479522 ",syl
acct4340.001.17s,acct,4340 ,001 ,17s,25031 ,Survey of Accounting Software ,,Open,Jennifer Johnson,Mon & Wed : 2:30pm-3:45pm : SOM_12.210,43,2, ,1,do_eval,,,mgt,mgmt,lec,1,jxj091000,1,9781259620720 ,syl
acct4342.001.17s,acct,4342 ,001 ,17s,24466 ,Analysis and Design of Accounting Systems ,,Open,Jennifer Johnson,Mon & Wed : 1:00pm-2:15pm : SOM_1.217,47,18, ,1,do_eval,,,mgt,mgmt,lec,1,jxj091000,1,"9781133934400,9781337013147 ",syl
acct4342.501.17s,acct,4342 ,501 ,17s,24343 ,Analysis and Design of Accounting Systems ,,Open,John Hagen,Thurs : 7:00pm-9:45pm : SOM_2.804,29,20, ,1,do_eval,,,mgt,mgmt,lec,1,jch013200,1,"9781133934400,9781337013147 ",syl
acct4342.pp1.17s,acct,4342 ,pp1 ,17s,25032 ,Analysis and Design of Accounting Systems ,,Open,Jennifer Johnson,Tues & Thurs : 10:00am-12:45pm : SOM_2.115,15,95, ,8w1,do_eval,,,mgt,mgmt,lec,8w1,jxj091000,1,"9781133934400,9781337013147 ",syl
acct4342.pp2.17s,acct,4342 ,pp2 ,17s,25033 ,Analysis and Design of Accounting Systems ,,Open,Jennifer Johnson,Tues & Thurs : 10:00am-12:45pm : SOM_2.115,42,68, ,8w2,do_eval,,,mgt,mgmt,lec,8w2,jxj091000,1,"9781133934400,9781337013147 ",syl
